[0228/144103.605:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0228/153556.836:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0228/171945.117:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0228/195750.390:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0301/071628.967:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0301/183637.379:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0301/202319.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0302/002514.520:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0302/042644.297:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0302/072204.922:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0302/095908.951:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0302/153751.361:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0303/152421.901:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0303/155224.204:ERROR:process_info.cc(375)] NtQuerySystemInformation SystemExtendedHandleInformation: The specified information record length does not match the length required for the specified information class. (0xc0000004)
[0303/204605.701:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0304/230845.079:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0305/103310.929:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
